Code,Elective object 1,Elective object 2
5B130300,биология,химия
5B130200,биология,химия
5B130100,биология,химия
5B120200,биология,химия
5B120100,биология,химия
5B110300,биология,химия
5B110200,биология,химия
5B110100,биология,химия
5B100200,математика,физика
5B091200,география,иностранный язык
5B091000,всемирная история,литература
5B090900,математика,география
5B090800,математика,география
5B090700,биология,география
5B090600,творческий,творческий
5B090500,география,иностранный язык
5B090300,биология,география
5B090200,география,иностранный язык
5B090100,математика,география
5B081200,математика,физика
5B081100,биология,химия
5B081000,математика,физика
5B080900,биология,химия
5B080800,биология,химия
5B080700,биология,география
5B080600,математика,физика
5B080500,математика,физика
5B080400,биология,химия
5B080300,биология,география
5B080200,биология,химия
5B080100,биология,химия
5B075300,физика,химия
5B075200,математика,физика
5B075000,математика,физика
5B074800,биология,химия
5B074600,математика,физика
5B074500,математика,физика
5B074300,математика,физика
5B073800,математика,физика
5B073700,физика,химия
5B073300,математика,физика
5B073200,математика,физика
5B073100,математика,физика
5B073000,математика,физика
5B072900,математика,физика
5B072800,биология,химия
5B072700,биология,химия
5B072600,математика,физика
5B072500,математика,физика
5B072400,математика,физика
5B072300,математика,физика
5B072100,физика,химия
5B072000,физика,химия
5B071900,математика,физика
5B071800,математика,физика
5B071700,математика,физика
5B071600,математика,физика
5B071500,математика,физика
5B071400,математика,физика
5B071300,математика,физика
5B071200,математика,физика
5B071100,математика,география
5B071000,математика,физика
5B070900,математика,физика
5B070800,математика,физика
5B070700,математика,география
5B070600,математика,физика
5B070500,математика,физика
5B070400,математика,физика
5B070300,математика,физика
5B070200,математика,физика
5B070100,биология,химия
5B061200,математика,география
5B061100,математика,физика
5B061000,математика,география
5B060900,математика,география
5B060800,биология,география
5B060700,биология,химия
5B060600,биология,химия
5B060500,математика,физика
5B060400,математика,физика
5B060300,математика,физика
5B060200,математика,физика
5B060100,математика,физика
5B052100,математика,география
5B051900,математика,география
5B051500,всемирная история,география
5B051400,творческий,творческий
5B051300,география,иностранный язык
5B051200,математика,география
5B051100,математика,география
5B051000,математика,география
5B050900,математика,география
5B050800,математика,география
5B050700,математика,география
5B050600,математика,география
5B050500,всемирная история,иностранный язык
5B050400,творческий,творческий
5B050300,биология,география
5B050200,всемирная история,иностранный язык
5B050100,математика,география
5B042200,творческий,творческий
5B042100,творческий,творческий
5B042000,творческий,творческий
5B041900,всемирная история,география
5B041700,творческий,творческий
5B041400,творческий,творческий
5B041300,творческий,творческий
5B041200,творческий,творческий
5B040900,творческий,творческий
5B040600,творческий,творческий
5B040400,творческий,творческий
5B040300,творческий,творческий
5B040200,творческий,творческий
5B030400,всемирная история,человек. общество. право
5B030300,всемирная история,человек. общество. право
5B030200,всемирная история,человек. общество. право
5B030100,всемирная история,человек. общество. право
5B021500,творческий,творческий
5B021200,всемирная история,иностранный язык
5B021100,всемирная история,иностранный язык
5B021022,всемирная история,иностранный язык
5B021021,всемирная история,иностранный язык
5B021020,всемирная история,иностранный язык
5B021019,всемирная история,иностранный язык
5B021018,всемирная история,иностранный язык
5B021017,всемирная история,иностранный язык
5B021016,всемирная история,иностранный язык
5B021015,всемирная история,иностранный язык
5B021014,всемирная история,иностранный язык
5B021013,всемирная история,иностранный язык
5B021012,всемирная история,иностранный язык
5B021000,всемирная история,иностранный язык
5B020900,всемирная история,иностранный язык
5B020800,всемирная история,география
5B020700,всемирная история,иностранный язык
5B020600,творческий,творческий
5B020524,всемирная история,литература
5B020500,всемирная история,литература
5B020400,всемирная история,иностранный язык
5B020300,всемирная история,география
5B020200,всемирная история,иностранный язык
5B020100,всемирная история,литература
5B013000,всемирная история,человек. общество. право
5B012900,всемирная история,география
5B012800,математика,физика
5B012700,математика,физика
5B012600,математика,физика
5B012500,биология,химия
5B012300,биология,география
5B012100,всемирная история,литература
5B012000,математика,физика
5B011924,всемирная история,иностранный язык
5B011923,всемирная история,иностранный язык
5B011900,всемирная история,иностранный язык
5B011800,всемирная история,литература
5B011700,всемирная история,литература
5B011600,биология,география
5B011400,всемирная история,география
5B011300,биология,химия
5B011200,биология,химия
5B011100,математика,физика
5B011000,математика,физика
5B010900,математика,физика
5B010800,творческий,творческий
5B010700,творческий,творческий
5B010600,творческий,творческий
5B010500,биология,география
5B010400,творческий,творческий
5B010300,биология,география
5B010200,биология,география
5B010100,биология,география